processing 128 buffers, bufferindex=4194304
hash allocated 0,  hash table size 4194048; scaletree size 41218.
processing 256 buffers, bufferindex=4194304
hash allocated 0,  hash table size 4194048; scaletree size 64966.
processing 384 buffers, bufferindex=4194304
hash allocated 0,  hash table size 4194048; scaletree size 61824.
processing 512 buffers, bufferindex=4194304
hash allocated 0,  hash table size 4194048; scaletree size 58753.
processing 640 buffers, bufferindex=4194304
hash allocated 0,  hash table size 4194048; scaletree size 55612.
processing 768 buffers, bufferindex=4194304
hash allocated 0,  hash table size 4194048; scaletree size 52541.
Starting to print results.
/* Total number of data blocks is 4194048 */
/* Total number of accesses is 3605154080 */
/* Bin 0 Distance 0 */	Reuses: 863224080
/* Bin 1 Distance 1 */	Reuses: 327741280
/* Bin 2 Distance 2 to 3 */	Reuses: 694192160
/* Bin 3 Distance 4 to 7 */	Reuses: 1472255120	SLQ: 0.842191
/* Bin 4 Distance 8 to 15 */	Reuses: 0
/* Bin 5 Distance 16 to 31 */	Reuses: 0
/* Bin 6 Distance 32 to 63 */	Reuses: 0
/* Bin 7 Distance 64 to 127 */	Reuses: 0
/* Bin 8 Distance 128 to 255 */	Reuses: 82255360	SLQ: 0
/* Bin 9 Distance 256 to 511 */	Reuses: 0
/* Bin 10 Distance 512 to 767 */	Reuses: 0
/* Bin 11 Distance 768 to 1023 */	Reuses: 0
/* Bin 12 Distance 1024 to 1279 */	Reuses: 0
/* Bin 13 Distance 1280 to 1535 */	Reuses: 0
/* Bin 14 Distance 1536 to 1791 */	Reuses: 0
/* Bin 15 Distance 1792 to 2047 */	Reuses: 0
/* Bin 16 Distance 2048 to 2303 */	Reuses: 0
/* Bin 17 Distance 2304 to 2559 */	Reuses: 0
/* Bin 18 Distance 2560 to 2815 */	Reuses: 0
/* Bin 19 Distance 2816 to 3071 */	Reuses: 0
/* Bin 20 Distance 3072 to 3327 */	Reuses: 0
/* Bin 21 Distance 3328 to 3583 */	Reuses: 0
/* Bin 22 Distance 3584 to 3839 */	Reuses: 0
/* Bin 23 Distance 3840 to 4095 */	Reuses: 0
/* Bin 24 Distance 4096 to 4351 */	Reuses: 0
/* Bin 25 Distance 4352 to 4607 */	Reuses: 0
/* Bin 26 Distance 4608 to 4863 */	Reuses: 0
/* Bin 27 Distance 4864 to 5119 */	Reuses: 0
/* Bin 28 Distance 5120 to 5375 */	Reuses: 0
/* Bin 29 Distance 5376 to 5631 */	Reuses: 0
/* Bin 30 Distance 5632 to 5887 */	Reuses: 0
/* Bin 31 Distance 5888 to 6143 */	Reuses: 0
/* Bin 32 Distance 6144 to 6399 */	Reuses: 0
/* Bin 33 Distance 6400 to 6655 */	Reuses: 0
/* Bin 34 Distance 6656 to 6911 */	Reuses: 0
/* Bin 35 Distance 6912 to 7167 */	Reuses: 0
/* Bin 36 Distance 7168 to 7423 */	Reuses: 0
/* Bin 37 Distance 7424 to 7679 */	Reuses: 0
/* Bin 38 Distance 7680 to 7935 */	Reuses: 0
/* Bin 39 Distance 7936 to 8191 */	Reuses: 0
/* Bin 40 Distance 8192 to 8447 */	Reuses: 0
/* Bin 41 Distance 8448 to 8703 */	Reuses: 0
/* Bin 42 Distance 8704 to 8959 */	Reuses: 0
/* Bin 43 Distance 8960 to 9215 */	Reuses: 0
/* Bin 44 Distance 9216 to 9471 */	Reuses: 0
/* Bin 45 Distance 9472 to 9727 */	Reuses: 0
/* Bin 46 Distance 9728 to 9983 */	Reuses: 0
/* Bin 47 Distance 9984 to 10239 */	Reuses: 0
/* Bin 48 Distance 10240 to 10495 */	Reuses: 0
/* Bin 49 Distance 10496 to 10751 */	Reuses: 0
/* Bin 50 Distance 10752 to 11007 */	Reuses: 0
/* Bin 51 Distance 11008 to 11263 */	Reuses: 0
/* Bin 52 Distance 11264 to 11519 */	Reuses: 0
/* Bin 53 Distance 11520 to 11775 */	Reuses: 0
/* Bin 54 Distance 11776 to 12031 */	Reuses: 0
/* Bin 55 Distance 12032 to 12287 */	Reuses: 0
/* Bin 56 Distance 12288 to 12543 */	Reuses: 0
/* Bin 57 Distance 12544 to 12799 */	Reuses: 0
/* Bin 58 Distance 12800 to 13055 */	Reuses: 0
/* Bin 59 Distance 13056 to 13311 */	Reuses: 0
/* Bin 60 Distance 13312 to 13567 */	Reuses: 0
/* Bin 61 Distance 13568 to 13823 */	Reuses: 0
/* Bin 62 Distance 13824 to 14079 */	Reuses: 0
/* Bin 63 Distance 14080 to 14335 */	Reuses: 0
/* Bin 64 Distance 14336 to 14591 */	Reuses: 0
/* Bin 65 Distance 14592 to 14847 */	Reuses: 0
/* Bin 66 Distance 14848 to 15103 */	Reuses: 0
/* Bin 67 Distance 15104 to 15359 */	Reuses: 0
/* Bin 68 Distance 15360 to 15615 */	Reuses: 0
/* Bin 69 Distance 15616 to 15871 */	Reuses: 0
/* Bin 70 Distance 15872 to 16127 */	Reuses: 0
/* Bin 71 Distance 16128 to 16383 */	Reuses: 0
/* Bin 72 Distance 16384 to 16639 */	Reuses: 0
/* Bin 73 Distance 16640 to 16895 */	Reuses: 0
/* Bin 74 Distance 16896 to 17151 */	Reuses: 0
/* Bin 75 Distance 17152 to 17407 */	Reuses: 0
/* Bin 76 Distance 17408 to 17663 */	Reuses: 0
/* Bin 77 Distance 17664 to 17919 */	Reuses: 0
/* Bin 78 Distance 17920 to 18175 */	Reuses: 0
/* Bin 79 Distance 18176 to 18431 */	Reuses: 0
/* Bin 80 Distance 18432 to 18687 */	Reuses: 0
/* Bin 81 Distance 18688 to 18943 */	Reuses: 0
/* Bin 82 Distance 18944 to 19199 */	Reuses: 0
/* Bin 83 Distance 19200 to 19455 */	Reuses: 0
/* Bin 84 Distance 19456 to 19711 */	Reuses: 0
/* Bin 85 Distance 19712 to 19967 */	Reuses: 0
/* Bin 86 Distance 19968 to 20223 */	Reuses: 0
/* Bin 87 Distance 20224 to 20479 */	Reuses: 0
/* Bin 88 Distance 20480 to 20735 */	Reuses: 0
/* Bin 89 Distance 20736 to 20991 */	Reuses: 0
/* Bin 90 Distance 20992 to 21247 */	Reuses: 0
/* Bin 91 Distance 21248 to 21503 */	Reuses: 0
/* Bin 92 Distance 21504 to 21759 */	Reuses: 0
/* Bin 93 Distance 21760 to 22015 */	Reuses: 0
/* Bin 94 Distance 22016 to 22271 */	Reuses: 0
/* Bin 95 Distance 22272 to 22527 */	Reuses: 0
